"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02196V04140","Region of Residence","UNIT","VALUE"
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE05","Southern","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE06","Eastern and Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","-","State","Thousand","4188"
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE04","Northern and Western","Thousand","612"
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE05","Southern","Thousand","1404"
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20203","2020Q3","01","Domestic","IE053","South-West","Thousand",""
